statement|future|source
We need to rededicate ourselves to the principles and purposes for which this Organization was founded.|no|UN General Debates Corpus
Many things have been left behind and many things await us.|no|UN General Debates Corpus
The Philippines stands ready to assist in implementing Security Council resolution 1546 (2004) on Iraq, which was unanimously adopted during our presidency of the Council last June.|no|UN General Debates Corpus
First, the indigenous population - which in Paraguay is not large, totalling no more than 100,000 - lacks access to its most vital needs and faces the disintegration of much of its natural lands owing to the historical rule of indolent landowners, and most recently to a type of agrarian modernization that was insensitive to human dignity.|no|UN General Debates Corpus
We are also grateful for the principled position that all homes must be rebuilt, that conditions must be created for the return of all of those who have been expelled and that the Serbs in Kosovo and Metohija must be guaranteed the right to life and to freedom of movement and all civil, national and religious freedoms.|no|UN General Debates Corpus
We must start talking to one another more directly, more candidly.|no|UN General Debates Corpus
The current year has been no exception to that sad pattern and civilians continue to be the target of attacks: in Iraq, both Iraqi and foreign nationals have been targeted; in Madrid, an attack was perpetrated against a commuter train; and, in the Russian Federation, there have been a string of attacks, the latest being the school massacre in Beslan, where children fell victim to an unprecedented atrocity.|no|UN General Debates Corpus
It is time that the embargo was lifted.|no|UN General Debates Corpus
For the first time in our history, our land borders have been defined, and they are now being conclusively demarcated.|no|UN General Debates Corpus
We must accelerate our current efforts that have been going on for a decade now for Security Council reform and to develop its methods of work.|no|UN General Debates Corpus
We must save those who can still be saved in what have become the killing fields of Africa.|no|UN General Debates Corpus
We in the developing countries of the Caribbean urgently need to develop our human stock and to widen the space of economic opportunity; to provide more of our young people with better education; to provide facilities that will keep our populations healthy and productive; to provide incomes that will encourage our people to save and to convert such savings into low- interest loans for productive enterprise; and to concentrate on exports and undertakings such as tourism to earn foreign exchange.|yes|UN General Debates Corpus
The Council reaffirmed that the sovereignty and boundaries of the State of Kuwait under its resolution 833 (1993) are the essence of the matter and that this will form the basis of the Council's priorities in dealing with the sanctions regime.|yes|UN General Debates Corpus
Turkey fully supports the efforts of those secular republics to build pluralistic societies and will assist them in integrating into the world community.|yes|UN General Debates Corpus
The international community should prove that it is ready and willing to take the steps which will bring about practical solutions to the problem of disarmament and international security.|yes|UN General Debates Corpus
Latvians never have and never will ask for any other land.|yes|UN General Debates Corpus
This matter is now being considered in the appropriate forums and the results will be presented to the United Nations.|yes|UN General Debates Corpus
This involves not only the decision on the fate of the United Nations Protection Force mandate in Bosnia and Herzegovina but also whether the Contact Group will succeed in sustaining a united operational basis for a solution or allow the situation to founder into a new military nightmare.|yes|UN General Debates Corpus
The declaration by the Secretary-General on 20 September 1972 that 1974 will be observed as World Population Year is a cogent reminder that the earth's resources are limited and that population planning is indispensable to the preservation of the human species and the enhancement of the quality of life in the world.|yes|UN General Debates Corpus
The Government of the Philippines is ready to join in recommending that a proper forum be established by the Assembly for a careful consideration of those specific suggestions which have been made or will be made in more detail by Member Governments and qualified experts.|yes|UN General Debates Corpus
