1571: slightlymagic.net
1318: arcengames.com
1066: acceleratingfuture.com
 930: lesswrong.com
 816: kdnuggets.com
 756: heatonresearch.com
 719: knowbrainer.com
 612: newfluwiki2.com
 550: netindex.com
 464: aidreams.co.uk
 441: hunch.net
 425: outofeight.info
 397: fiveprime.org
 388: aigamedev.com
 377: lumenvox.com
 358: arnetminer.org
 341: cs.bham.ac.uk
 330: dragontranscription.com
 322: orionsarm.com
 313: topidolblog.com
 308: atheistnetwork.com
 298: b-eye-network.com
 290: tvtropes.org
 284: genline.com
 282: dataminingblog.com
 278: schneier.com
 261: masterclasslady.com
 254: generation5.org
 253: mugenguild.com
 244: detroitbadboys.com
 239: alias-i.com
 238: ieet.org
 232: spaceempires.net
 231: gamedev.net
 230: lifeboat.com
 221: sports-gaming.com
 220: crypticcomet.com
 215: virtualworldlets.net
 212: matrixgames.com
 212: answers.com
 210: freeorion.org
 209: smartdatacollective.com
 209: sigkdd.org
 208: textmap.com
 202: dodsbir.net
 201: robots.net
 194: onintelligence.org
 194: awarenessideas.com
 192: voicerecognition.com
 185: ai.sri.com
 182: spss-asp.com
 181: alwaysinnovating.com
 179: trnmag.com
 178: ploscompbiol.org
 177: traderbots.com
 176: jabberwacky.com
 173: nal.usda.gov
 170: strategy-gaming.com
 170: speechcomputing.com
 170: hpcwire.com
 167: aclweb.org
 166: nuance.com
 164: osc.edu
 163: kappasofcolumbiamd.com
 161: pokerai.org
 160: mjsbigblog.com
 160: 3d2f.com
 157: aridolan.com
 155: agentland.com
 153: ivr.tmcnet.com
 150: apolyton.net
 150: micmoo.org
 149: rwillustrator.blogspot.com
 148: the-modeling-agency.com
 148: dev-heaven.net
 144: tdwi.org
 144: foreignword.com
 144: flylib.com
 143: advogato.org
 141: sgi.com
 141: freelang.net
 140: game-over.net
 139: actapress.com
 137: metaoptimize.com
 134: somberi.com
 134: macspeech.com
 133: tinywiki.org
 133: allforfreelancers.com
 133: gamasutra.com
 132: stereotestkit.com
 131: a-i.com
 131: icinco.org
 130: asphaltinstitute.org
 130: elecbyte.com
 129: goldenstateofmind.com
 128: exforsys.com
 126: ai-depot.com
 124: piperowner.org
 122: snipercountry.com
 121: advanceindiana.blogspot.com
 121: azer.com
 119: si-games.com
 118: rapid-i.com
 117: vldb.org
 116: alleniversonlive.com
 116: insidehpc.com
 115: cognitivepsychologyarena.com
 115: hobiecat.com
 114: spss.com
 112: vi-tech.com
 112: iri.com
 111: rpgcodex.net
 111: abc-directory.com
 110: eclipsephase.com
 109: scottaaronson.com
 109: visionscience.com
 109: nextbigfuture.com
 108: automatedeasyforexsystem.com
 108: netmation.org
 106: calico.org
 106: ebooksubway.com
 106: freehulamonkeys.com
 105: mitre.org
 104: sharealogo.com
 104: theness.com
 104: ai-stockmarketforum.com
 103: kitanamedia.com
 101: secure.genline.com
 101: investigativereportingworkshop.org
 100: sesa.org
 100: simhq.com
  99: bionewsonline.com
  99: fansofdavid.com
  99: lambda-the-ultimate.org
  98: easyivr.com
  98: gamefactsheet.com
  98: 64digits.com
  98: nuggdoctor.com
  98: cse.msu.edu
  97: springrts.com
  97: amigura.co.uk
  97: top500.org
  97: autonlab.org
  97: hawkdawg.com
  97: dssresources.com
  96: paleface.net
  96: edge.org
  96: darkblizz.org
  95: actualincest.com
  95: wordtrade.com
  95: booksfall.com
  95: 5starsoft.com
  94: fstop100.com
  94: physicspost.com
  93: rocketpunk-manifesto.com
  93: cs.wustl.edu
  92: neomythos.com
  92: allaboutthegames.co.uk
  90: aramedia.com
  90: rockpapershotgun.com
  90: hcibib.org
  90: memebox.com
  89: beechtalk.com
  89: primesearchresults.com
  89: gamersgate.com
  89: anfearrua.com
  89: gate.ac.uk
  89: omniverseone.com
  88: massiveassaultnetwork.com
  87: fsdeveloper.com
  87: maps4heroes.com
  86: weplayciv.com
  86: freedarko.blogspot.com
  85: projectsjugaad.com
  85: onlineinvestingai.com
  85: stephena.com
  85: air-n-water.com
  85: modsim.org
  84: singinst.org
  84: hearinglossweb.com
  84: gamechronicles.com
  83: ideas.4brad.com
  83: pente.org
  83: megagames.com
  82: acegamez.co.uk
  82: nhne.org
  82: languageresourceonline.com
  81: warlight.net
  81: tt-forums.net
  81: qntm.org
  81: gamesquad.com
  81: actavetscand.com
  81: newdualism.org
  79: otomm.com
  78: equine-reproduction.com
  78: worldpoultry.net
  78: jfsowa.com
  78: news.surfwax.com
  77: reviews.teamxbox.com
  77: accurapid.com
  77: deafgamers.com
  77: 4playerpodcast.com
  77: thepits.us
  76: squakenet.com
  76: radar.oreilly.com
  76: advancedinstaller.com
  76: a2asimulations.com
  76: whmautopilot.com
  76: loopingrecursion.com
  75: information-management.com
  75: civfanatics.com
  75: battletechmux.com
  75: midwestbookreview.com
  74: quranenglish.com
  74: strongtie.com
  74: braindumps.com
  74: promt.com
  74: lrrd.org
  73: techreview.com
  73: sqldev.org
  73: getminingjobs.com
  73: dairyherd.com
  72: diydrones.com
  72: darkspace.net
  71: appspy.com
  71: technovelgy.com
  71: world-wide-name.com
  71: executionmih.com
  71: amazedsaint.blogspot.com
  71: kdkeys.net
  70: overcomingbias.com
  70: freebasic.net
  70: aforgenet.com
  70: jada-plus.com
  69: toys-online-store.com
  69: nitrd.gov
  68: hard-light.net
  68: easternfront.org
  68: home1.gte.net
  68: kaggle.com
  67: yangsky.com
  67: qvectors.net
  67: scientificcomputing.com
  67: wfs.org
  67: longbowgames.com
  67: ourglocal.com
  67: jimpinto.com
  67: blessedcause.org
  67: web.media.mit.edu
  66: toucharcade.com
  66: schoolofaffiliate.com
  66: learnlab.org
  66: business-spreadsheets.com
  65: thenumerati.net
  65: rationallyspeaking.blogspot.com
  65: xbox.gamespy.com
  65: gametoast.com
  64: projectcork.org
  64: pressreleasepublic.com
  64: scialert.net
  64: dragonvoicerecognition.com
  64: emicrophones.com
  64: weask.us
  63: dresan.com
  63: longbets.org
  63: lsadc.org
  63: 123helpme.com
  63: golem.ph.utexas.edu
  62: marine-electronics-reviews.com
  62: iphoneappsplus.com
  61: multichannelmerchant.com
  61: 3sob.com
  60: thesmarttechie.com
  60: dragon-medical-transcription.com
  60: mission4today.com
  60: nucnews.net
  60: quartertothree.com
  59: scicasts.com
  59: cs.ualberta.ca
  59: asmcommunity.net
  59: free-sperm-donations.com
  59: linguistlist.org
  59: allusearch.net
  58: seobythesea.com
  58: bitmob.com
  58: gogetpapers.com
  58: holidayhotels.com
  58: occupationalinfo.org
  57: charcoaldesign.co.uk
  57: xgweb.net
  57: perceptric.com
  57: wiki.beyondunreal.com
  57: rupeetimes.com
  57: ebook-freedownload.net
  57: stars21.com
  57: appraisalinstitute.org
  57: medlibrary.org
  57: iwawaterwiki.org
  57: cs.umd.edu
  57: mobgate.com
  57: devlog.datarealms.com
  57: garlic.com
  56: directorycomputer.com
  56: oregonequest.com
  55: alphaworks.ibm.com
  55: bubl.ac.uk
  55: mwmythicmods.com
  55: cs.sjsu.edu
  54: athenpaladins.org
  54: robotspodcast.com
  54: vantagelearning.com
  54: rbgrn.net
  54: learnartificialneuralnetworks.com
  54: appraisaltoday.com
  54: igi-global.com
  54: frc.ri.cmu.edu
