statement,future,source
"Sadly, there have been so many recent disasters in which innocent lives have been lost that time does not permit me to mention them all.",No,UN General Debates Corpus
"All human life is precious, but the recent terrorist atrocity committed against schoolchildren in Beslan, Russia, was particularly vile.",No,UN General Debates Corpus
The world must speak out with one voice in utter contempt of those who were responsible.,No,UN General Debates Corpus
"As if what I have just mentioned were not challenging enough, we also now know that the global community faces a wide variety of complex tasks in protecting the planet from environmental catastrophe.",No,UN General Debates Corpus
"During the past 10 years, we have seen progress in implementing the Programme of Action, with the close involvement and support of the Secretariat.",No,UN General Debates Corpus
"3  Naturally, over the past 10 years, we have also seen the emergence of new challenges and issues that were not originally addressed.",No,UN General Debates Corpus
"For more than a decade now, we have been vocal in this body and elsewhere on virtually every aspect of climate change.",No,UN General Debates Corpus
"In that context, in order to demonstrate our spirit of cooperation on these issues, I am pleased to announce my Government’s interest in submitting its candidacy for a non-permanent seat on the Security Council so as to make our accumulated experience available to this Organization.",No,UN General Debates Corpus
"In the approximately 100 days that we have been in office, we have undertaken important health reforms by extending medical coverage to the age of 12 for the children of workers who contribute to Salvadoran social security and by granting emergency paediatric services to almost 400,000 boys and girls.",No,UN General Debates Corpus
That is why we were pleased by the decision taken by the Government of Spain to provide assistance for primary education.,No,UN General Debates Corpus
"The flow of emigration was intensified by the war, and today virtually one third of our population lives abroad.",No,UN General Debates Corpus
Resolution 2758 (XXVI) of 1971 did not resolve the issue of the representation of the Taiwanese people in the United Nations.,No,UN General Debates Corpus
Many things have been left behind and many things await us.,No,UN General Debates Corpus
"For many years, we have been actively involved in those processes, including through the Czech presidency of the fifty-seventh session of the General Assembly.",No,UN General Debates Corpus
There was not enough commitment to act within the boundaries of Security Council resolutions.,No,UN General Debates Corpus
"Some nations resorted to the use of force, which was not in accordance with international law.",No,UN General Debates Corpus
"The recent barbaric and inhuman massacre of hostages at the school in Beslan, Russia, its scale and the manner in which it was committed show that terrorism has become more brutal than ever and that it is spreading to almost every corner of the world and sparing no nation.",No,UN General Debates Corpus
"Last year, for example, military expenditures by rich countries amounted to more than $700 billion, which was 10 times higher than the total amount of their official development assistance for developing nations.",No,UN General Debates Corpus
Encouraging results have been recorded.,No,UN General Debates Corpus
"Increasingly, the international community is faced with conflicts within States, the painful manifestations of which have been seen in conflicts in the Middle East, Africa, the North Caucasus and elsewhere.",No,UN General Debates Corpus
"Earlier, in Spain and Turkey and, most recently, in the Russian Federation, we have seen how terrorism — the scourge of the twenty-first century — indiscriminately strikes the innocent, including children.",No,UN General Debates Corpus
"We share the concerns expressed in this respect by many States, in particular by the countries sponsoring the world leaders’ New York Declaration on the Action against Hunger and Poverty, which was adopted on 20 September.",No,UN General Debates Corpus
"The millennium year was a time of great hope, reflected in the outcome of the Millennium Summit.",No,UN General Debates Corpus
But those who either assert or aspire to positions of world leadership - and there is no shortage of candidates - bear a particular responsibility to act in the global interest.,No,UN General Debates Corpus
"Presently, 40 per cent of conflicts that appear to have been resolved break out again within five years.",No,UN General Debates Corpus
"I am pleased to state that during Irelandís recent presidency of the European Union, important progress was achieved in implementing the Joint Declaration on United Nations-European Union Cooperation in Crisis Management.",No,UN General Debates Corpus
The efforts of the African Union and the Economic Community of West African States in crisis management have been particularly valuable and deserve support.,No,UN General Debates Corpus
"When the depredations of the ruthless militias were unleashed upon them, they looked in vain for the even-handed protection of their Government.",No,UN General Debates Corpus
"The Irish people have been greatly moved by the suffering in Darfur and have been generous in providing additional, non-government financial support for the relief effort.",No,UN General Debates Corpus
"I welcome the recent adoption by the Security Council of resolution 1564 (2004), although it is a matter of regret and bewilderment to many that the resolution did not receive the unanimous backing of Council members.",No,UN General Debates Corpus
"I urge the authorities in the Sudan to fulfil, with the utmost urgency, the obligations that have been imposed on them by the Security Council.",No,UN General Debates Corpus
"They reinforce, if reinforcement were needed, the absolute duty of Member States of the United Nations to cooperate effectively in identifying and bringing to justice those who plan, direct, finance, facilitate and carry out terrorist acts.",No,UN General Debates Corpus
Those were the issues that were addressed in three days of intensive talks that were convened by both Governments in Leeds Castle in England last week.,No,UN General Debates Corpus
Substantial progress was made in the talks regarding the issues of paramilitarism and arms decommissioning.,No,UN General Debates Corpus
"In addition, significant progress was made with regard to the policing issue and the devolution of those powers to devolved institutions in Northern Ireland.",No,UN General Debates Corpus
"Regrettably, it was not possible to achieve agreement among the parties themselves on the question of the operation of the political institutions of the Agreement.",No,UN General Debates Corpus
"It was noteworthy in that regard that the leader of the Democratic Unionist Party, Mr. Ian Paisley, made the point immediately after the talks that a golden opportunity has been available to realize a stable and entirely peaceful future.",No,UN General Debates Corpus
We need to rededicate ourselves to the principles and purposes for which this Organization was founded.,No,UN General Debates Corpus
"Under those circumstances, it is worth recalling the Five Principles of Peaceful Coexistence, which were enunciated 50 years ago by Myanmar, along with China and India, to provide the basic principles for inter-State relations.",No,UN General Debates Corpus
The Principles were subsequently adopted by Asian and African leaders in the Bandung Declaration of 1955.,No,UN General Debates Corpus
"Founded on the premise of the essential unity of humankind, the Five Principles remain as relevant and valid today as on the day they were proclaimed.",No,UN General Debates Corpus
"More recently, we have seen wanton acts of terrorism in diverse parts of the world, from Beslan to Jakarta to Madrid.",No,UN General Debates Corpus
A preventive programme was in place in my country even before Security Council resolutions were adopted on this theme.,No,UN General Debates Corpus
"The representative was afforded the opportunity to visit the army recruitment centre near Yangon, and subsequently the army recruitment centre in Mandalay together with the United Nations Resident Coordinator.",No,UN General Debates Corpus
Peace and stability have been restored.,No,UN General Debates Corpus
Noteworthy advances have been made in the health and education sectors.,No,UN General Debates Corpus
"In the past year alone, 22 new hospitals were commissioned.",No,UN General Debates Corpus
"The first and most crucial step of the road map, the reconvening of the National Convention, was taken on 17 May of this year.",No,UN General Debates Corpus
"It is more inclusive than the previous Convention, which was attended by only about 700 delegates.",No,UN General Debates Corpus
"In the previous Convention, representatives of three or four armed groups which had just returned to the legal fold were present as observers.",No,UN General Debates Corpus
"During the first session, the sensitive issue of power-sharing between the central Government and the states and regions was the main focus of discussion.",No,UN General Debates Corpus
"Because of the complex and sensitive nature of the deliberations, discussions were time- consuming and sometimes intense.",No,UN General Debates Corpus
The common desire to ensure the success of the seven-step road map was evident.,No,UN General Debates Corpus
The United Nations was conceived as a way of preventing war and restoring peace.,No,UN General Debates Corpus
"For some years, from this rostrum, heads of State and Government have been urging the need for reform, and the Secretary-General has welcomed that initiative.",No,UN General Debates Corpus
"That was the subject of a 20 September meeting of more than 60 world leaders, who were resolved to tackle it with all the tools available to them.",No,UN General Debates Corpus
