 210: lesswrong.com
 198: arcengames.com
 182: acceleratingfuture.com
 156: heatonresearch.com
 106: dodsbir.net
  76: kdnuggets.com
  71: knowbrainer.com
  58: mugenguild.com
  52: aidreams.co.uk
  51: slightlymagic.net
  48: nextbigfuture.com
  48: outofeight.info
  40: ieet.org
  39: spaceempires.net
  39: si-games.com
  39: freeorion.org
  37: newfluwiki2.com
  37: lumenvox.com
  36: lifeboat.com
  33: dragontranscription.com
  31: schneier.com
  31: aigamedev.com
  31: mac.doc.gov
  28: detroitbadboys.com
  27: eclipsephase.com
  27: mjsbigblog.com
  27: allforfreelancers.com
  26: hunch.net
  26: memebox.com
  25: gamedev.net
  25: fansofdavid.com
  24: apolyton.net
  24: masterclasslady.com
  23: sigkdd.org
  23: advogato.org
  23: tvtropes.org
  23: alleniversonlive.com
  23: topidolblog.com
  23: onintelligence.org
  21: b-eye-network.com
  21: robots.net
  21: nhne.org
  21: ai-depot.com
  20: physicspost.com
  20: crypticcomet.com
  20: advanceindiana.blogspot.com
  20: simhq.com
  19: elecbyte.com
  19: game-over.net
  19: matrixgames.com
  19: sgi.com
  19: exforsys.com
  18: maps4heroes.com
  18: strategy-gaming.com
  18: ideas.4brad.com
  18: insidehpc.com
  18: dataminingblog.com
  17: braindumps.com
  17: dev-heaven.net
  17: goldenstateofmind.com
  17: positivefuturist.com
  17: gamasutra.com
  17: longbets.org
  17: deafgamers.com
  16: alias-i.com
  16: rocketpunk-manifesto.com
  16: nuggdoctor.com
  16: battletechmux.com
  16: rwillustrator.blogspot.com
  16: theness.com
  16: generation5.org
  16: darkblizz.org
  15: speechcomputing.com
  15: hpcwire.com
  15: ivr.tmcnet.com
  15: 64digits.com
  15: sports-gaming.com
  15: mission4today.com
  15: charcoaldesign.co.uk
  15: aclweb.org
  14: the-modeling-agency.com
  14: cs.bham.ac.uk
  14: stephena.com
  14: darkspace.net
  14: devlog.datarealms.com
  14: hawkdawg.com
  14: scienceblog.com
  14: voicerecognition.com
  14: visionscience.com
  14: edge.org
  14: pokerai.org
  13: singinst.org
  13: lsadc.org
  13: warlight.net
  13: tt-forums.net
  13: igi-global.com
  13: markettorrent.com
  13: netlib.org
  12: gamersgate.com
  12: overcomingbias.com
  12: civfanatics.com
  12: kitanamedia.com
  12: rpgcodex.net
  12: massiveassaultnetwork.com
  12: weplayciv.com
  12: xtremerevolution.co.uk
  12: alwaysinnovating.com
  12: osc.edu
  12: alfin2100.blogspot.com
  12: amazedsaint.blogspot.com
  12: schwein.com
  11: aesthetics-online.org
  11: techreview.com
  11: kurzweilai.net
  11: geniebusters.org
  11: gamefactsheet.com
  11: neomythos.com
  11: orionsarm.com
  11: paleface.net
  11: accelgen.com
  11: thepits.us
  11: snipercountry.com
  11: hard-light.net
  11: foresight.org
  11: lehighfootballnation.blogspot.com
  11: ametsoc.org
  11: heroescommunity.com
  11: smartdatacollective.com
  11: gamechronicles.com
  11: automatedeasyforexsystem.com
  11: executionmih.com
  11: trnmag.com
  11: cs.sjsu.edu
  10: c-evo.org
  10: anfearrua.com
  10: asphaltinstitute.org
  10: mwmythicmods.com
  10: acegamez.co.uk
  10: mutleyshangar.com
  10: megagames.com
  10: oxcgn.com
  10: xenocorp.net
  10: atheistnetwork.com
  10: wfs.org
  10: loopingrecursion.com
  10: ioinformatics.org
  10: nal.usda.gov
  10: piperowner.org
  10: hobiecat.com
  10: rapid-i.com
   9: forum.paradoxplaza.com
   9: vb123.com
   9: allaboutthegames.co.uk
   9: omniverseone.com
   9: brainmeta.com
   9: worldofweirdthings.com
   9: gamernode.com
   9: somberi.com
   9: freebasic.net
   9: reviews.teamxbox.com
   9: aftermathnews.wordpress.com
   9: cncguild.net
   9: itre.cis.upenn.edu
   9: making-history.com
   9: kaggle.com
   9: athenpaladins.org
   9: xgweb.net
   9: spss.com
   9: kdkeys.net
   9: nlp.stanford.edu
   9: advancedinstaller.com
   9: tek-tips.com
   8: killerbeesoftware.com
   8: gametoast.com
   8: arjay.bc.ca
   8: amigura.co.uk
   8: supermemo.com
   8: michaelnielsen.org
   8: customcod.com
   8: eternallandsmanual.com
   8: previews.teamxbox.com
   8: nwial.com
   8: 3sob.com
   8: bitmob.com
   8: basketbawful.blogspot.com
   8: consolesports.net
   8: scienceagogo.com
   8: fsdeveloper.com
   8: 4playerpodcast.com
   8: the3rdage.net
   8: qntm.org
   8: newdualism.org
   8: otomm.com
   8: dynonavionics.com
   8: clir.org
   8: cse.ohio-state.edu
   8: mozillalabs.com
   8: book-review.articledirectoryusa.com
   8: ootpdevelopments.com
   8: infoproc.blogspot.com
   8: jimpinto.com
   8: tdwi.org
   8: infomica.com
   8: kilkennycats.com
   8: nuance.com
   8: acexc.com
   8: tsumea.com
   8: wordtrade.com
   8: www-ssc.igpp.ucla.edu
   7: reefbuilders.com
   7: clipsnation.com
   7: infarcry.com
   7: nwnprc.com
   7: adam-lambert.org
   7: simhq.net
   7: smaponline.net
   7: mangalorean.com
   7: dune2k.com
   7: gpwiki.org
   7: sqlsaturday.com
   7: linuxpr.com
   7: mastersportal.eu
   7: promt.com
   7: alinboard.com
   7: photography35mm.com
   7: answers.com
   7: aridolan.com
   7: springrts.com
   7: desertsoft.com
   7: information-management.com
   7: a2asimulations.com
   7: psx.ign.com
   7: glbwiki.com
   7: plato.stanford.edu
   7: schizophrenia.com
   7: garlic.com
   7: gamesurge.com
   7: scholarshipnet.info
   7: xbox.ign.com
   7: asmcommunity.net
   7: wiki.openpilot.org
   7: spss-asp.com
   7: scholarship-positions.com
   7: amtonline.com
   6: imreportcard.com
   6: shockwaveproductions.com
   6: maar.org
   6: ghostrecon.net
